bno_deep_sleep,bno_light_sleep,feather_deep_sleep,feather_light_sleep
3.508780,3.510713,3.508973,3.649129
3.508845,3.510454,3.511165,3.649643
3.509941,3.510518,3.510390,3.649065
3.509295,3.513167,3.509618,3.648226
3.509103,3.513297,3.511808,3.648417
3.508973,3.513426,3.515098,3.649643
3.508843,3.513426,3.518512,3.648483
3.509167,3.513426,3.516516,3.648095
3.509038,3.513425,3.517415,3.648417
3.508716,3.513426,3.512839,3.648417
3.508586,3.513426,3.517934,3.647968
3.508521,3.513426,3.516388,3.647323
3.508521,3.513426,3.517093,3.647839
3.508586,3.513619,3.518513,3.647515
3.508908,3.513167,3.518770,3.648161
3.508716,3.513426,3.516837,3.647645
3.508651,3.513426,3.519607,3.647645
3.508651,3.513426,3.520639,3.647902
3.508651,3.513290,3.519996,3.647775
3.508521,3.512391,3.518769,3.648098
3.508586,3.512198,3.518966,3.647645
3.508586,3.512714,3.521284,3.647258
3.508651,3.513808,3.520382,3.647515
3.508779,3.511422,3.521991,3.646871
3.508587,3.511615,3.521025,3.647450
3.508651,3.512133,3.521604,3.647708
3.508586,3.512650,3.522120,3.647450
3.508521,3.512909,3.521990,3.647000
3.508586,3.512587,3.520637,3.647515
3.509101,3.510518,3.521220,3.647452
3.511551,3.511423,3.521153,3.647258
3.510518,3.510842,3.520122,3.647323
3.508908,3.509940,3.520190,3.647580
3.509425,3.511422,3.521605,3.647193
3.508780,3.510777,3.521089,3.647388
3.513034,3.512452,3.521349,3.647452
3.509618,3.509038,3.520510,3.647258
3.511100,3.509488,3.520766,3.647515
3.510906,3.510456,3.520386,3.647258
3.509295,3.510906,3.520835,3.647128
3.513613,3.511616,3.520767,3.646870
3.511808,3.509231,3.519611,3.647258
3.512065,3.508716,3.519157,3.647064
3.509747,3.510778,3.519224,3.647128
3.513872,3.509553,3.518646,3.646999
3.514193,3.510906,3.518259,3.646224
3.513419,3.510778,3.517875,3.645770
3.515226,3.508780,3.518450,3.645514
3.515742,3.510649,3.517552,3.645835
3.513741,3.508973,3.516586,3.644995
3.516580,3.510906,3.517169,3.645836
3.514967,3.510521,3.516651,3.645190
3.515804,3.509103,3.516463,3.645384
3.517995,3.510777,3.517362,3.644609
3.518639,3.508973,3.516335,3.644933
3.519026,3.508973,3.516335,3.644351
3.520443,3.509038,3.516527,3.644996
3.518511,3.508973,3.516014,3.644351
3.521473,3.509103,3.516399,3.643708
