2024-10-07 00:19:58,{'Running': 2, 'Unknown': 2, 'Tilting': 0, 'On-Foot': 4, 'In-Vehicle': 2, 'Still': 92, 'Walking': 2, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.16626,-0.51440,3.87305,0.84082,1.33594,-2.25000,9.62891,True,False,3.71008,0.20947
2024-10-07 00:20:00,{'Running': 1, 'Unknown': 2, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 2, 'Still': 94, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.16504,-0.51611,3.87036,0.85229,1.30078,-2.28516,9.66797,True,False,3.70364,0.20947
2024-10-07 00:20:01,{'Running': 1, 'Unknown': 2, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 2, 'Still': 94, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.16626,-0.52759,3.86694,0.86084,1.33594,-2.28516,9.66797,True,False,3.70686,0.20947
2024-10-07 00:20:02,{'Running': 1, 'Unknown': 2, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 2, 'Still': 94, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17407,-0.49756,3.89136,0.76123,1.33594,-2.28516,9.66797,True,False,3.73919,0.20625
2024-10-07 00:20:04,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 96, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17407,-0.49927,3.89063,0.76416,1.33594,-2.28516,9.66797,True,False,3.69397,0.20625
2024-10-07 00:20:05,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 96, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17188,-0.51514,3.88184,0.79834,1.30078,-2.28516,9.66797,True,False,3.70364,0.20625
2024-10-07 00:20:06,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 96, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17432,-0.51221,3.88599,0.77881,1.33594,-2.32422,9.66406,True,False,3.62629,0.20303
2024-10-07 00:20:08,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 96, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17456,-0.51563,3.88477,0.78247,1.33594,-2.28516,9.66797,True,False,3.70686,0.20303
2024-10-07 00:20:09,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 96, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.16772,-0.50757,3.87891,0.81787,1.33594,-2.32422,9.66406,True,False,3.71985,0.20303
2024-10-07 00:20:10,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 96, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.16870,-0.51733,3.87622,0.82397,1.33594,-2.25000,9.66797,True,False,3.69719,0.19980
2024-10-07 00:20:12,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17334,-0.48999,3.89453,0.75000,1.30078,-2.28516,9.66797,True,False,3.74563,0.19980
2024-10-07 00:20:13,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17578,-0.47681,3.90234,0.71704,1.33594,-2.28516,9.70703,True,False,3.69719,0.19980
2024-10-07 00:20:14,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17554,-0.47852,3.90161,0.71997,1.33594,-2.28516,9.70703,True,False,3.69397,0.19658
2024-10-07 00:20:15,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17383,-0.47998,3.89844,0.73633,1.30078,-2.28516,9.66797,True,False,3.69719,0.19658
2024-10-07 00:20:17,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17578,-0.48560,3.89795,0.73413,1.33594,-2.25000,9.62891,True,False,3.73919,0.19658
