Timestamp,activity_classification,stability_classification,shake_detection,step_count,acc_x,acc_y,acc_z,tilt_up,tilt_forward,vbat_voltage,usb_voltage
2024-11-06 11:03:50,{'Running': 5; 'Unknown': 4; 'Tilting': 0; 'On-Foot': 9; 'In-Vehicle': 5; 'Still': 82; 'Walking': 4; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.77344,True,True,3.65852,0.19336
2024-11-06 11:03:51,{'Running': 5; 'Unknown': 4; 'Tilting': 0; 'On-Foot': 9; 'In-Vehicle': 5; 'Still': 82; 'Walking': 4; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.36719,9.73438,True,True,3.66819,0.19336
2024-11-06 11:03:52,{'Running': 4; 'Unknown': 4; 'Tilting': 0; 'On-Foot': 7; 'In-Vehicle': 4; 'Still': 85; 'Walking': 3; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.36719,9.77734,True,True,3.65852,0.19336
2024-11-06 11:03:53,{'Running': 4; 'Unknown': 4; 'Tilting': 0; 'On-Foot': 7; 'In-Vehicle': 4; 'Still': 85; 'Walking': 3; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.77344,True,True,3.65852,0.19336
2024-11-06 11:03:54,{'Running': 4; 'Unknown': 4; 'Tilting': 0; 'On-Foot': 7; 'In-Vehicle': 4; 'Still': 85; 'Walking': 3; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.36719,9.73828,True,True,3.65852,0.19336
2024-11-06 11:03:54,{'Running': 4; 'Unknown': 4; 'Tilting': 0; 'On-Foot': 7; 'In-Vehicle': 4; 'Still': 85; 'Walking': 3; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.32813,9.77734,True,True,3.66819,0.19336
2024-11-06 11:03:55,{'Running': 4; 'Unknown': 4; 'Tilting': 0; 'On-Foot': 7; 'In-Vehicle': 4; 'Still': 85; 'Walking': 3; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.36719,9.73438,True,True,3.65852,0.19014
2024-11-06 11:03:56,{'Running': 3; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 6; 'In-Vehicle': 3; 'Still': 88; 'Walking': 3; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.77344,True,True,3.65852,0.19014
2024-11-06 11:03:57,{'Running': 3; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 6; 'In-Vehicle': 3; 'Still': 88; 'Walking': 3; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.32813,9.77344,True,True,3.65852,0.19014
2024-11-06 11:03:57,{'Running': 3; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 6; 'In-Vehicle': 3; 'Still': 88; 'Walking': 3; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.36719,9.73828,True,True,3.65852,0.19014
2024-11-06 11:03:58,{'Running': 3; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 6; 'In-Vehicle': 3; 'Still': 88; 'Walking': 3; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.28906,9.73828,True,True,3.64885,0.19014
2024-11-06 11:03:59,{'Running': 3; 'Unknown': 3; 'Tilting': 0; 'On-Foot': 6; 'In-Vehicle': 3; 'Still': 88; 'Walking': 3; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.12109,-0.28906,9.81641,True,True,3.65852,0.19014
2024-11-06 11:04:00,{'Running': 2; 'Unknown': 2; 'Tilting': 0; 'On-Foot': 4; 'In-Vehicle': 3; 'Still': 91; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.36719,9.73828,True,True,3.64885,0.19014
2024-11-06 11:04:01,{'Running': 2; 'Unknown': 2; 'Tilting': 0; 'On-Foot': 4; 'In-Vehicle': 3; 'Still': 91; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.08594,-0.36719,9.73438,True,True,3.65852,0.19014
2024-11-06 11:04:02,{'Running': 2; 'Unknown': 2; 'Tilting': 0; 'On-Foot': 4; 'In-Vehicle': 3; 'Still': 91; 'Walking': 2; 'most_likely': 'Still'; 'On-Bicycle': 0; 'OnStairs': 0},On Table,False,0,1.04688,-0.32813,9.73828,True,True,3.67786,0.18691
